,tweet,date
0,Week 2 @presidentmal #jamaladams #nfl #seattle #seattleseahawks #12thman #camnewton #newenglandpatriots… https://t.co/fn6ZimlZcl,2020-09-21 23:39:33
1,@ahardy316 @Fingrz692 @JerseyKidPicks @EnterPrizePod @XAVIERJOEYJOE @ahardy316 BIG UNK Alot of new faces #NFL but t… https://t.co/wZkk530eEs,2020-09-21 23:33:26
2,"Just remember, everyone on ESPN &amp; FS1 who were praising #CamNewton this morning, are the same people who were defen… https://t.co/Ba14jYbLqo",2020-09-21 22:50:48
3,"When you see your work bestie during your lunch break.
#mademondays #workdays #camnewton #gregolsen #pro10tial https://t.co/JQ77RUtXIq",2020-09-21 22:28:53
4,"Excited to share the latest addition to my #etsy shop: Cam NewTom, Patriots, Cam Newton flying Elvis, new England p… https://t.co/fZcs2pWnYW",2020-09-21 22:05:00
5,"Excited to share the latest addition to my #etsy shop: Patriots, Cam Newton flying Elvis, new England patriots, tom… https://t.co/DlRFvssWM6",2020-09-21 22:03:08
6,How the turntables...media loves Cam now. #CamNewton https://t.co/P0Do35TN3t,2020-09-21 21:38:29
7,#sports #blog #sportsblog #nba #nfl #mlb #nhl #basketball #football #baseball #hockey #boston #bostonsports… https://t.co/mqHfx271Y9,2020-09-21 21:35:15
8,Proof Bill Belichick lost the game on bad clock management.  Cost patriots fans And Sports Bettors a win.… https://t.co/PhFTLPWAWU,2020-09-21 21:33:39
9,"Should the @Patriots extend @CameronNewton now before price potentially goes up?

Watch @OMFonWEEI every weekday ▶️… https://t.co/LlsMFVsoj8",2020-09-21 21:27:19
10,#Tone1 #QuickSportsChat #Patriots #Seahawks #CamNewton https://t.co/13br5JWCWP,2020-09-21 21:21:06
11,Cam on that final goal line play last night #nfl #Patriots #CamNewton https://t.co/wsja6AQuwx,2020-09-21 21:13:08
12,Could #CamNewton break the record for QB rushing touchdowns in a season? @WillBrinson joined @AGoldFan to talk abou… https://t.co/amAAPAgLJn,2020-09-21 21:08:33
13,First one of the season for me. It was great to be back talkin ball with my guy @CSimmsQB! We went all in on two of… https://t.co/6p4wIn9EQQ,2020-09-21 20:47:02
14,#sports #blog #sportsblog #nba #nfl #mlb #nhl #basketball #football #baseball #hockey #boston #bostonsports… https://t.co/O3RDLubYBd,2020-09-21 20:41:25
15,I absolutely LOVE this freaking guy. He’s so magnetic that I’m feeling drawn to him as a leader from my couch. Than… https://t.co/dp9G0hgeXG,2020-09-21 20:38:24
16,"Even though the Patriots fell short in yesterday's game, Cam flashed his old MVP abilities. Can he maintain that fo… https://t.co/iyzBf9j1j2",2020-09-21 20:17:56
17,"#CamNewton post game interview after the #Patriots vs. #Seahawks thriller 
-
#SundayNightFootball
#NFL… https://t.co/q3FLuOvOlp",2020-09-21 20:17:14
18,@WaddleandSilvy @chrisbleck @AdamAAbdalla @TWaddle87 Preach Silvy!! Let them know!!! #silvyatrong #CamNewton,2020-09-21 20:17:05
19,Ryan Pace is racist right? He gotta be @ChicagoBears #CamNewton,2020-09-21 20:16:34
20,Sports Shorts Daily | 9-21-20 https://t.co/jmk73PLaOQ @tommykrysan discussing #CoachO #60Minutes #LSU opening week… https://t.co/i8mmoVW0db,2020-09-21 19:46:11
21,"Per @TheFFBallers
Of the 464 @Patriots offensive yards @CameronNewton either passed or rushed for 444 of those yard… https://t.co/2jKuUj1GBS",2020-09-21 19:30:45
22,Do you know how cold you have to be for them to let you wear number 1 as Qb? #CamNewton,2020-09-21 19:27:39
23,"@barstoolsports @Starting9 🏅“#Start #where you are. Use what you have. Do what you #can.”🏅
💬 #next #Fixed 100%… https://t.co/1C0p5XWfyQ",2020-09-21 19:27:05
24,"@unibet 🏅“#Start #where you are. Use what you have. Do what you #can.”🏅
💬 #next #Fixed 100% #Match are #confirmed… https://t.co/3joShl6jQ4",2020-09-21 19:26:28
25,#sports #blog #sportsblog #nba #nfl #mlb #nhl #basketball #football #baseball #hockey #boston #bostonsports… https://t.co/yAoKxLvetn,2020-09-21 19:19:12
26,"#afternoonjazz, #bobbihumphrey, #brothersjohnson, #camnewton, #djspinna, #donaldbyrd, #jackmcduff, #jazz, #jazzhop,… https://t.co/V3DGJA6iZ3",2020-09-21 19:17:46
27,"I love exercise is 😍
.
.
#Zendaya #Kendall  #ElonMusk #MeekMiLL #MarkHamill #TaylorSwift #LadyGaga #KatyPerry… https://t.co/8Mcf6ImWkw",2020-09-21 19:16:19
28,"me empolguei depois do jogo de ontem e resolvi homenagear o homi. #CamNewton #Patriots #GoPats 

@patriotsbrasil… https://t.co/u25DwXKfpP",2020-09-21 19:15:58
29,Really impressed by Cam Newton yesterday. Hate the patriots but will be rooting for Cam all season. #camnewton,2020-09-21 19:12:09
30,So here is my first @Patriots  recap article. Would appreciate if ya'll took a look and gave me your thoughts. I'm… https://t.co/zXr3nWqZur,2020-09-21 19:00:08
31,@Patriots I don't know if this is a silly question but is #CamNewton not allowed to run around the defence? Is thei… https://t.co/05DiZHv6up,2020-09-21 18:50:56
32,@KingRooz @CourtesyFlush5 @richeisen @Jerrymcd When people like @kingrooz complain about an athlete like #CamNewton… https://t.co/N9ANYgh6cJ,2020-09-21 18:45:01
33,I want cam newton to retire as a patriot #CamNewton #NFL #GoPats #SundayNightFootball #,2020-09-21 18:40:13
34,"Stuff You Missed 
 #RuthBaderGinsburg #TheEmmys #Patriots #CamNewton #ZitoandSuzanne #JamesWhite https://t.co/T4OKUxWI6C",2020-09-21 18:36:24
35,@geoffschwartz Cam go to the outside and you score!!!  #haveoptions #shouldhavescored #CamNewton,2020-09-21 18:27:51
36,Not my face when I read people talking about #CamNewton all offseason. Then watch the games begin https://t.co/W5CGYHOSIp,2020-09-21 18:04:49
37,"@Patriots @AlbertBreer @barstoolsports 
#patriots need to sign @delaniewalker82 ASAP &amp; bring in @RishardMatthews 4… https://t.co/JTr0M6sJdE",2020-09-21 18:04:41
38,@dpology2000 @jbcox3 @JoshHutton24 @stephenasmith @Patriots Dickhead A Smith be trying to call this last play call… https://t.co/kiB2bGnIiM,2020-09-21 18:03:46
39,2 “sportz jerks” #PodcastRecommendations in one day??? This one from ⁦@mancookgood⁩ about why #CamNewton is the per… https://t.co/BjTCYeiaLv,2020-09-21 17:43:07
40,***Breaking News *** Christian McCaffery Will Miss 4-6 Weeks With An Ank... https://t.co/1P1b1TuMLc #Panthers… https://t.co/LDGC9iq4bf,2020-09-21 17:41:31
41,"@MikeReiss If #CamNewton stays healthy, the offense will not only be more exciting to watch than last season's team… https://t.co/yd69yOmVT3",2020-09-21 17:27:50
42,"I know it’s only been two weeks but Cam Newton is playing at an MVP level.

https://t.co/kvmces9DC8 #CamNewton #NFL… https://t.co/cLZnnPItfC",2020-09-21 17:24:31
43,Still a little salty over that last play call in the #patriots game. I was so sure we were going to complete the co… https://t.co/X9CZxeOa7g,2020-09-21 17:04:07
44,"I'm not in any man's pocket, but #CamNewton is going to get paid next offseason.  Bring the Brinks trunk.",2020-09-21 16:46:21
45,"#ExtendCamNewtonNow. #TradeforaWR #Patriots #CamNewton 

#GoPats",2020-09-21 16:39:54
46,Muy buen partido de #CamNewton para los @Patriots. Ha demostrado que físicamente está recuperado de sus lesiones y… https://t.co/coBaQFyP2v,2020-09-21 16:38:27
47,Twitter has proven once again that a persons hatred of #CamNewton can make them sound real stupid...… https://t.co/UOI4PHuqK5,2020-09-21 16:23:19
48,What did we learn from Week 2 of the #NFL season? Here are 5 ColdHardFootballFacts from all the action (and injurie… https://t.co/ETA05OFYef,2020-09-21 16:17:43
49,"En el #AMOR soy #CamNewton me aviento a lo pendejo :( 
#NFL 
#NFLTwitter https://t.co/24OvXtKXdR",2020-09-21 16:12:56
50,"#TruthBeBlack 🖤🖤🖤

#CamNewton 

https://t.co/B3TfnGBm49",2020-09-21 16:10:03
51,Vibrant #ios14homescreen concept. A different #CamNewton outfit for each app icon. https://t.co/PGgoDBaS21,2020-09-21 16:07:49
52,Let’s goooo big ducking Dave knows the deal we all see it and he put into words for everybody #camnewton and the… https://t.co/Us4FzdW7ce,2020-09-21 16:05:11
53,🤣😂🤣 I know sum won't understand diz but trust me itz hilarious                                         #CamNewton https://t.co/tGcs1Lzywu,2020-09-21 16:04:35
54,Who made this? 🤣 why are y’all like this? #CamNewton #CynthiaDoll #Rugrats https://t.co/mOr1aDpunL,2020-09-21 16:02:26
55,#PatriotsNation #lookatthis going into this season nobody predicted that the Patriots would only lose by five point… https://t.co/zBYtIZt7qR,2020-09-21 15:54:59
56,Don’t y’all go giving credit to the Patriots or Belichick for Cam’s success. He’s been that dude! I’m still on my N… https://t.co/t6gpuS9Ugo,2020-09-21 15:47:47
57,"Spot on correct about the interior penetration.

#CamNewton also could have bounced it outside if he were a little… https://t.co/ebfapguBux",2020-09-21 15:46:07
58,"Here is today's ""The Stack"" via @SportsBlog: https://t.co/K039qtAZ8R. Week 2 #NFL recap &amp; reaction to all of the gr… https://t.co/l1rqsb83lB",2020-09-21 15:41:00
59,"""#CamNewton may even work himself into the discussion of best quarterbacks in the league, which would be a feat.""
M… https://t.co/C17NPLDoH8",2020-09-21 15:40:33
60,#CamNewton is who everyone thought he was.  #GMFB #Newton is a clown,2020-09-21 15:33:36
61,#CamNewton We sure miss you down here in Carolina. It's not the same. Love you Bro and Take Care!,2020-09-21 15:30:24
62,#Patriots remain the greatest waiver wire team in #NFL history #CamNewton,2020-09-21 15:25:48
63,"So far #2020worstyear league changing moves for both sides.

#nuk to Cards 2-0 from #Texans 0-2
Diggs to #Buf 2-0 f… https://t.co/nxeZr6XtTT",2020-09-21 15:22:32
64,"Need a day off to recover from that crazy @dallascowboys win....what a come back. But, why Lord why, am I all the s… https://t.co/uPG1BIc6QZ",2020-09-21 15:11:01
65,"¯\_(ツ)_/¯

#rannfl #rannflsüchtig #nfl2020 #seahawkspatriots #seahawks #patriots #superbowl #butler #camnewton… https://t.co/H4vAMRJtpT",2020-09-21 15:07:16
66,Hw bout that @CameronNewton last nite @wrenchtwister00 this season is so fun to watch #PatriotsNation #CamNewton,2020-09-21 15:06:25
67,"Whoever called QB sneak: ''nobody thinks we are going with QB sneak... I am a genius.''
Cam Newton: ''What's the da… https://t.co/z85FcP45oe",2020-09-21 15:04:57
68,"@MatthewBerryTMR Because #CamNewton is mostly about #CamNewton.  

He's also very limited as a passer.  One read an… https://t.co/hVKQW8bP2p",2020-09-21 14:54:38
69,"#Seahawks frenan a #Newton y derrotan a #Patriots 35-30, los #HalconesMarinos detuvieron a #CamNewton en la última… https://t.co/7nNIUyMW3j",2020-09-21 14:54:08
70,"@BSSportsbook 🏅“#Start #where you are. Use what you have. Do what you #can.”🏅
💬 #next #Fixed 100% #Match are… https://t.co/q6zoJIS3Jl",2020-09-21 14:54:00
71,"Aye unless he sucks bad the rest of the year, Cam getting the bag once this season ends!! #CamNewton",2020-09-21 14:44:44
72,#MondayMotivation for the 1st time in my life MY New England Patriot's QB acknowledged my presence ( like he probab… https://t.co/L1johE1V1X,2020-09-21 14:40:31
73,"#NFL #DakPrescott,@dak currently in his 5th season, recorded his 16th career game with both a passing TD &amp; a rushin… https://t.co/qQnbdQGvIS",2020-09-21 14:37:48
74,Dear god PLEASE bring cam newton back to carolina 😂😂 #CamNewton #carolinapanthers #patriots #nfl #camvp https://t.co/Drq1LuBz5m,2020-09-21 14:37:33
75,I NEVER liked @Patriots but I am feeling like I need to root for @CameronNewton. So like @IssaRae said... I’m rooti… https://t.co/59FCSKyF5W,2020-09-21 14:32:30
76,"Despite the Patriots loss on Sunday night, #CamNewton has played amazing.

(30/44) for 397 pass yards
11 carries, 4… https://t.co/ctZvBLn1BE",2020-09-21 14:31:23
77,"Despite the Patriots loss on Sunday night, #CamNewton has played amazing.

(30/44) for 397 pass yards
11 carries, 4… https://t.co/4rKOrexvzf",2020-09-21 14:30:56
78,"#NFL 
#CamNewton 

#TruthBeBlack 🏈📣💯

https://t.co/XJhHWGlyXK",2020-09-21 14:30:19
79,Cam newton can't play cam newton is washed up cam newton sucks ...lol who said all that shit? #camnewton #NewEnglandPatriots #patriots,2020-09-21 14:30:03
80,"Nada mal por un QB que está entre los peores pagados de la @nfl. 
#CamNewton 
Y #Edelman anda demostrando que es él… https://t.co/jGz7xPRy99",2020-09-21 14:25:31
81,"#WandaVision
#CamNewton 
#90DayFiance
#RHOP
#Zendaya
#CamNewton 
#21stofSeptember
#MondayMotivation
#Plumlee… https://t.co/ksLqTWOZng",2020-09-21 14:23:51
82,Happy to see cam Newton playing ball again. Football is back and I love it. Hooyah Cam. You got some big ass teeth… https://t.co/4ZRqmRIf8d,2020-09-21 14:23:11
83,"Impressed, again, by #CamNewton. Not at all impressed by @Patriots defense that allowed FIVE passing TDs by… https://t.co/aAPMfRtgs5",2020-09-21 14:18:26
84,"“Moving forward, we have a lot of things to be optimistic about, but yet we still have to get better.” -… https://t.co/NEvfFJl7L6",2020-09-21 14:18:20
85,After that performance last night in Seattle old Julian Edelman is definitely gonna be  getting a random drug test.… https://t.co/m4RwEuhJMX,2020-09-21 14:16:50
86,The Colts could have had #CamNewton and they chose #philliprivers... After the first two weeks of the season... let that sink in.,2020-09-21 14:12:12
87,Cam Newton vs any other Qb last night. Just let that sink in #Patriots #CamNewton,2020-09-21 14:07:23
88,#CamNewton still got it! https://t.co/MKU4hEp9Ud,2020-09-21 14:03:40
89,.@CameronNewton running through a teams D line is like watching Dalí paint. He’s a master of his craft! #Patriots #CamNewton,2020-09-21 13:54:54
90,"@quiquegaray Pues con #TomBrady hubiera anotado en esa última jugada.
#CamNewton es bueno pero jamás sobresalió y n… https://t.co/X94tM8MWco",2020-09-21 13:46:56
91,What do people have to say about @CameronNewton now.... Threw for almost 400 yards against this @Seahawks defense..… https://t.co/uPuk2t1FKM,2020-09-21 13:39:35
92,"Check out my latest video ""How The Seattle Seahawks Defeated The New England Patriots""
#patriots #seahawks #12thman… https://t.co/kdR11QXG3q",2020-09-21 13:34:43
93,"@richeisen .@CameronNewton was meant to be coached by Belichick. 

#CamNewton",2020-09-21 13:29:51
94,Just from the one game the patriots need to extend Cam newtons contract already #Patriots #NewEngland #CamNewton,2020-09-21 13:29:40
95,"@CameronNewton You, and the whole team played your butts off. That's all us fans can ask for. Games like last night… https://t.co/fWQAQKa5XO",2020-09-21 13:24:59
96,Fuck yeah they do!!! #CamNewton Daaaaaaamn Cam! https://t.co/vUv6cuzFqr,2020-09-21 13:14:44
97,"NFL Week 2 injury tracker: Saquon Barkley, Nick Bosa leave game as Giants
#NFLFreeAgency
#NFLRookies… https://t.co/T5nWoSzAsQ",2020-09-21 13:12:58
98,"Today’s Show @GerryCallahan

1️⃣ @RealUncleTB 
2️⃣ #NFL #Patriots #CamNewton 
3️⃣ #RBG 

&amp; much more!

👉 Subscribe… https://t.co/za9ptkzA5Q",2020-09-21 13:08:18
99,Team #CamNewton https://t.co/rD9bqL84CO,2020-09-21 13:07:20
100,"😱 Ese Cam es de verdad...

¿Todavía extrañamos a Tom Brady, amigos Pats? 👀🤔🏈

#Meme #TomBrady #Patriots #CamNewton https://t.co/Oqdi9wgJlw",2020-09-21 13:03:00
101,#Another Monday #camnewton #mondaymotivation #mondaythoughts #emmys #BROWNS #dubstep #trance #Hiphop #listen… https://t.co/XfrrCFGW7q,2020-09-21 13:02:45
102,#CamNewton,2020-09-21 12:55:53
103,Cam Newton is on pace for 32 rushing TDS this season #CamNewton,2020-09-21 12:23:37
104,"What we learned from Sunday's Week 2 games 
#NFLFreeAgency
#NFLRookies
#NFLPowerRankings
#NFLTrades 
#Week2… https://t.co/NycXrFKIYa",2020-09-21 12:16:11
105,@gmfb @KyleBrandt is hilarious 🤣 he just said @Seahawks flipped #CamNewton and jumped him 😩🤦🏾‍♂️🤣😂,2020-09-21 12:14:54
106,Who said Cam was washed up? How many teams passed on him? He's baaaaaack. Unreal performance. #CamNewton https://t.co/CxNFkxsn5X,2020-09-21 12:10:42
107,#CamNewton you see what Murray did here? He shot to the outside...&amp; scored from 10 yrds away...imagine if you did t… https://t.co/Awt4tqRncN,2020-09-21 12:06:28
108,"Things I learned in the NFL week 2:

1. This may finally be the Russell Wilson #MVP year. 
2. Matt Ryan can still s… https://t.co/GJEw2OedGY",2020-09-21 12:03:42
109,To all the people who were #CamNewton haters and wanted him gone I hope you are enjoying the new tune the #Panthers… https://t.co/lKhbDlNqxD,2020-09-21 12:02:48
110,Despite the loss #CamNewton looked great last night . I’m pulling for ya big dawg,2020-09-21 12:01:51
111,"Patriots fans, as a Panthers fan i’m curious.... what were your opinions of Cam Newton before and what are they now… https://t.co/PcDPtSGwQN",2020-09-21 11:35:22
112,@RossTuckerNFL All #BlackMen deal with this issue on the job everyday.  The QB position in the #NFL  with what happ… https://t.co/XGkAKdWaRl,2020-09-21 11:23:45
113,Nearly everyone was wrong about @CameronNewton. Last night I saw a humble leader. A man on a mission that made 55 d… https://t.co/BdcrIGkW7f,2020-09-21 11:10:02
114,#sports #blog #sportsblog #nba #nfl #mlb #nhl #basketball #football #baseball #hockey #boston #bostonsports… https://t.co/zZ1z6OeWQw,2020-09-21 11:09:53
115,I looked at the @Patriots schedule this year and thought the @Seahawks would dismantle us. 34-10. Should of PA on t… https://t.co/xNIxXxWJPP,2020-09-21 10:58:57
116,"That’s my quarterback.
#CamNewton #rideordie #AceBoogie #CAMVP https://t.co/DwW3KngldN",2020-09-21 10:39:45
117,"After two weeks, it's apparent that #CamNewton still has it.  Even though New England lost last night, passing for… https://t.co/UcVWg7KyNY",2020-09-21 10:29:53
118,"As a dolphins fan, I have to admit I cheered for the patriots today. I want #CamNewton to do well🤦🏾‍♂️",2020-09-21 10:06:29
119,#camnewton WE NOW HAVE TO SEE CAM NEWTON AS SUPERFLY. WHY? ISN'T AMERICA STUNNED ENOUGH? IT'S SAD WE HAVE TO SEE SU… https://t.co/5Yi9Mrcg3Y,2020-09-21 09:42:14
120,"With all sincere gratitude, I want to exclusively thank you @destinybetpro  for all your assistance, I can remember… https://t.co/7Winwx4aTB",2020-09-21 09:39:39
121,An @nfl record for @CameronNewton #CamNewton #NFL #NFLSunday #SNFonNBC #Indastreetzsportz https://t.co/bYZMNJmPde,2020-09-21 09:33:04
122,"are you looking awesome Facebook Instagram ad post designer
contact :-https://t.co/RQQYTC7Wxk
check out my new podc… https://t.co/aGmrhDNHex",2020-09-21 09:29:59
123,"An @nfl record for #camnewton
#patriots @CameronNewton #TheSleazyReport https://t.co/jWaYDUTaeH",2020-09-21 09:29:28
124,"In their second game this season, #TomBrady and the @Buccaneers achieved the first win.

The @Patriots and… https://t.co/ma0Q3mnmdq",2020-09-21 09:17:44
125,"Hello Everyone,
I am a professional Graphic Designer.
If you need to Graphic Designer contact me

#graphicdesigner… https://t.co/SM0KRbwyoB",2020-09-21 09:03:09
126,"watch CAM NEWTON Press Conference after the #Patriots 30-35 loss to the #Seahawks 
#CamNewton
-
https://t.co/EqHvS6eUg1",2020-09-21 08:38:28
127,#health #healthyfood #healthylifestyle #healthychoices #HealthyEating #fitnessmotivation #fitspo #fitnessmodelBad… https://t.co/06HOCU631J,2020-09-21 08:37:39
128,National Clean Hands Week 2020 https://t.co/lgEdNYpvOd #CamNewton,2020-09-21 08:28:50
129,"Hey I bought The Okinawa Flat Belly Tonic and really it worked
Find out more here
👇👇👇👇👇👇👇
 https://t.co/MSOVnKLZRX… https://t.co/JnwFH8Q12X",2020-09-21 07:56:54
130,#patriots #CamNewton @Patriots,2020-09-21 07:55:49
131,Quién escribe los tuits de #PatsNation y #CamNewton? Niños de 15 años?,2020-09-21 07:17:08
132,w e e k e n d  l e a g u e  #speedrun #teambuilding |  🦅 50/50 @EAGLES THEME TEAM!  https://t.co/efvRvnuf4z… https://t.co/AeV5KHkNMp,2020-09-21 07:10:15
133,"Grow your Twitter with real and targeted followers.

#Zendaya #RussellWilson #CamNewton #AnthonyDavis  
#RHOP… https://t.co/BcJwfItw9k",2020-09-21 07:01:41
134,#CamNewton is a man playing a boys’ game. #seahawksvspatriots,2020-09-21 07:00:45
135,"#NEvsSEA my bad! Almost excluded this gem of a game out! #Seahawks did what they do best, win at home.… https://t.co/NJVUoiuzN2",2020-09-21 06:43:23
